timestamp,device_id,temperature_c,voltage_v,current_a,gps_fix,health,message
2026-05-05T08:13:22.721411,FDU01,47.72,12.1,1.71,True,NORMAL,nominal
2026-05-05T08:13:22.926627,FDU01,50.96,12.07,1.8,True,NORMAL,nominal
2026-05-05T08:13:23.130633,FDU01,46.46,12.04,1.8,True,NORMAL,nominal
2026-05-05T08:13:23.335907,FDU01,51.82,12.01,1.78,True,NORMAL,nominal
2026-05-05T08:13:23.541333,FDU01,43.11,11.98,1.55,True,NORMAL,nominal
2026-05-05T08:13:23.745930,FDU01,48.73,11.95,1.16,True,NORMAL,nominal
2026-05-05T08:13:23.951123,FDU01,43.71,11.92,1.31,True,NORMAL,nominal
2026-05-05T08:13:24.156561,FDU01,47.14,11.89,1.2,True,NORMAL,nominal
2026-05-05T08:13:24.361812,FDU01,50.58,11.86,1.73,True,NORMAL,nominal
2026-05-05T08:13:24.567210,FDU01,49.26,11.83,1.72,True,NORMAL,nominal
2026-05-05T08:13:24.770523,FDU01,86.76,11.8,1.09,True,CRITICAL,temperature critical
2026-05-05T08:13:24.971200,FDU01,87.02,11.77,1.5,True,CRITICAL,temperature critical
2026-05-05T08:13:25.176679,FDU01,86.42,11.74,1.56,True,CRITICAL,temperature critical
2026-05-05T08:13:25.381905,FDU01,48.81,11.71,1.44,True,NORMAL,nominal
2026-05-05T08:13:25.585460,FDU01,46.79,11.68,1.44,True,NORMAL,nominal
2026-05-05T08:13:25.790000,FDU01,50.2,11.65,1.35,True,NORMAL,nominal
2026-05-05T08:13:25.991262,FDU01,45.32,11.62,1.37,True,NORMAL,nominal
2026-05-05T08:13:26.196097,FDU01,50.38,11.59,1.77,True,NORMAL,nominal
2026-05-05T08:13:26.401365,FDU01,49.37,9.6,1.6,True,CRITICAL,battery critical
2026-05-05T08:13:26.606676,FDU01,43.19,9.6,1.37,True,CRITICAL,battery critical
2026-05-05T08:13:26.808114,FDU01,45.6,9.6,1.01,True,CRITICAL,battery critical
2026-05-05T08:13:27.013615,FDU01,46.54,11.47,1.16,True,NORMAL,nominal
2026-05-05T08:13:27.214045,FDU01,48.39,11.44,1.3,True,NORMAL,nominal
2026-05-05T08:13:27.419458,FDU01,48.0,11.41,1.67,True,NORMAL,nominal
2026-05-05T08:13:27.624788,FDU01,44.63,11.38,1.55,False,CRITICAL,gps fix lost
2026-05-05T08:13:27.830136,FDU01,46.1,11.35,1.02,False,CRITICAL,gps fix lost
2026-05-05T08:13:28.031882,FDU01,49.48,11.32,1.25,False,CRITICAL,gps fix lost
2026-05-05T08:13:28.237101,FDU01,43.17,11.29,1.24,True,NORMAL,nominal
2026-05-05T08:13:28.438168,FDU01,49.53,11.26,1.57,True,NORMAL,nominal
2026-05-05T08:13:28.639247,FDU01,44.44,11.23,1.32,True,NORMAL,nominal
