$GPRMC,120000,A,3628.8000,N,12717.4000,E,10.0,084.4,050526,,,A*4F
$GPRMC,120010,A,3628.8030,N,12717.4040,E,10.1,084.4,050526,,,A*48
$GPRMC,120020,A,3628.8060,N,12717.4080,E,10.2,084.4,050526,,,A*41
$GPRMC,120030,A,3628.8090,N,12717.4120,E,10.3,084.4,050526,,,A*45
$GPRMC,120040,A,3628.8120,N,12717.4160,E,10.4,084.4,050526,,,A*4B
$GPRMC,120050,A,3628.8150,N,12717.4200,E,10.5,084.4,050526,,,A*49
$GPRMC,120060,A,3628.8180,N,12717.4240,E,10.6,084.4,050526,,,A*40
$GPRMC,120070,A,3628.8210,N,12717.4280,E,10.7,084.4,050526,,,A*46
$GPRMC,120080,A,3628.8240,N,12717.4320,E,10.8,084.4,050526,,,A*48
$GPRMC,120090,A,3628.8270,N,12717.4360,E,10.9,084.4,050526,,,A*4F
$GPRMC,120100,A,3628.8300,N,12717.4400,E,11.0,084.4,050526,,,A*48
$GPRMC,120110,A,3628.8330,N,12717.4440,E,11.1,084.4,050526,,,A*4F
$GPRMC,120120,V,3628.8360,N,12717.4480,E,11.2,084.4,050526,,,A*51
$GPRMC,120130,V,3628.8390,N,12717.4520,E,11.3,084.4,050526,,,A*55
$GPRMC,120140,A,3628.8420,N,12717.4560,E,11.4,084.4,050526,,,A*4A
$GPRMC,120150,A,3628.8450,N,12717.4600,E,11.5,084.4,050526,,,A*48
$GPRMC,120160,A,3628.8480,N,12717.4640,E,11.6,084.4,050526,,,A*41
$GPRMC,120170,A,3628.8510,N,12717.4680,E,11.7,084.4,050526,,,A*45
$GPRMC,120180,A,3628.8540,N,12717.4720,E,11.8,084.4,050526,,,A*4B
$GPRMC,120190,A,3628.8570,N,12717.4760,E,11.9,084.4,050526,,,A*4C
$GPRMC,120200,A,3628.8600,N,12717.4800,E,12.0,084.4,050526,,,A*41
$GPRMC,120210,A,3628.8630,N,12717.4840,E,12.1,084.4,050526,,,A*46
$GPRMC,120220,A,3628.8660,N,12717.4880,E,12.2,084.4,050526,,,A*4F
$GPRMC,120230,A,3628.8690,N,12717.4920,E,12.3,084.4,050526,,,A*4B
$GPRMC,120240,A,3628.8720,N,12717.4960,E,12.4,084.4,050526,,,A*45
$GPRMC,120250,A,3628.8750,N,12717.5000,E,12.5,084.4,050526,,,A*4C
$GPRMC,120260,A,3628.8780,N,12717.5040,E,12.6,084.4,050526,,,A*45
$GPRMC,120270,A,3628.8810,N,12717.5080,E,12.7,084.4,050526,,,A*4F
$GPRMC,120280,A,3628.8840,N,12717.5120,E,12.8,084.4,050526,,,A*41
$GPRMC,120290,A,3628.8870,N,12717.5160,E,12.9,084.4,050526,,,A*46
