timestamp,device_id,temperature_c,voltage_v,current_a,gps_fix,health,message
2026-05-05T14:00:00,FDU01,44.0,12.10,1.33,true,NORMAL,nominal
2026-05-05T14:00:10,FDU01,42.1,12.08,1.64,true,NORMAL,nominal
2026-05-05T14:00:20,FDU01,49.7,12.07,1.09,true,NORMAL,nominal
2026-05-05T14:00:30,FDU01,48.3,12.05,1.08,true,NORMAL,nominal
2026-05-05T14:00:40,FDU01,42.4,12.04,1.25,true,NORMAL,nominal
2026-05-05T14:00:50,FDU01,42.4,12.03,1.59,true,NORMAL,nominal
2026-05-05T14:01:00,FDU01,47.5,12.01,1.47,true,NORMAL,nominal
2026-05-05T14:01:10,FDU01,42.7,11.99,1.46,true,NORMAL,nominal
2026-05-05T14:01:20,FDU01,44.2,11.98,1.05,true,NORMAL,nominal
2026-05-05T14:01:30,FDU01,44.6,11.96,1.29,true,NORMAL,nominal
2026-05-05T14:01:40,FDU01,43.9,11.95,1.37,true,NORMAL,nominal
2026-05-05T14:01:50,FDU01,48.4,11.94,1.39,true,NORMAL,nominal
2026-05-05T14:02:00,FDU01,48.0,11.92,1.91,true,NORMAL,nominal
2026-05-05T14:02:10,FDU01,48.4,11.90,1.86,true,NORMAL,nominal
2026-05-05T14:02:20,FDU01,42.2,11.89,1.87,true,NORMAL,nominal
2026-05-05T14:02:30,FDU01,47.2,11.88,1.73,true,NORMAL,nominal
2026-05-05T14:02:40,FDU01,49.9,11.86,1.86,true,NORMAL,nominal
2026-05-05T14:02:50,FDU01,47.5,11.84,1.68,true,NORMAL,nominal
2026-05-05T14:03:00,FDU01,49.0,11.83,1.40,true,NORMAL,nominal
2026-05-05T14:03:10,FDU01,49.0,11.81,1.35,true,NORMAL,nominal
2026-05-05T14:03:20,FDU01,44.1,11.80,1.36,true,NORMAL,nominal
2026-05-05T14:03:30,FDU01,42.1,11.79,1.46,true,NORMAL,nominal
2026-05-05T14:03:40,FDU01,49.2,11.77,1.53,true,NORMAL,nominal
2026-05-05T14:03:50,FDU01,46.7,11.75,1.95,true,NORMAL,nominal
2026-05-05T14:04:00,FDU01,47.3,11.74,1.19,true,NORMAL,nominal
2026-05-05T14:04:10,FDU01,43.3,11.72,1.25,true,NORMAL,nominal
2026-05-05T14:04:20,FDU01,44.1,11.71,1.72,true,NORMAL,nominal
2026-05-05T14:04:30,FDU01,46.0,11.70,1.31,true,NORMAL,nominal
2026-05-05T14:04:40,FDU01,46.8,11.68,1.96,true,NORMAL,nominal
2026-05-05T14:04:50,FDU01,45.2,11.66,1.52,true,NORMAL,nominal
2026-05-05T14:05:00,FDU01,76.2,11.65,1.08,true,WARN,temperature elevated
2026-05-05T14:05:10,FDU01,77.1,11.63,1.12,true,WARN,temperature elevated
2026-05-05T14:05:20,FDU01,75.3,11.62,1.94,true,WARN,temperature elevated
2026-05-05T14:05:30,FDU01,80.8,11.61,1.70,true,WARN,temperature elevated
2026-05-05T14:05:40,FDU01,81.6,11.59,1.01,true,WARN,temperature elevated
2026-05-05T14:05:50,FDU01,79.5,11.57,1.24,true,WARN,temperature elevated
2026-05-05T14:06:00,FDU01,48.1,11.56,1.35,true,NORMAL,nominal
2026-05-05T14:06:10,FDU01,46.2,11.54,1.34,true,NORMAL,nominal
2026-05-05T14:06:20,FDU01,44.6,11.53,1.05,true,NORMAL,nominal
2026-05-05T14:06:30,FDU01,42.8,11.52,1.72,true,NORMAL,nominal
2026-05-05T14:06:40,FDU01,47.4,11.50,1.46,true,NORMAL,nominal
2026-05-05T14:06:50,FDU01,44.8,11.48,1.31,true,NORMAL,nominal
2026-05-05T14:07:00,FDU01,47.9,11.47,1.18,true,NORMAL,nominal
2026-05-05T14:07:10,FDU01,45.2,11.46,1.85,true,NORMAL,nominal
2026-05-05T14:07:20,FDU01,43.5,11.44,1.79,true,NORMAL,nominal
2026-05-05T14:07:30,FDU01,45.6,9.60,1.71,true,CRITICAL,battery critical
2026-05-05T14:07:40,FDU01,45.5,9.60,1.82,true,CRITICAL,battery critical
2026-05-05T14:07:50,FDU01,44.2,9.60,1.96,true,CRITICAL,battery critical
2026-05-05T14:08:00,FDU01,44.5,9.60,1.71,true,CRITICAL,battery critical
2026-05-05T14:08:10,FDU01,44.1,11.37,1.57,true,NORMAL,nominal
2026-05-05T14:08:20,FDU01,44.2,11.35,1.71,true,NORMAL,nominal
2026-05-05T14:08:30,FDU01,48.0,11.33,1.26,true,NORMAL,nominal
2026-05-05T14:08:40,FDU01,46.8,11.32,1.85,true,NORMAL,nominal
2026-05-05T14:08:50,FDU01,44.3,11.30,1.67,true,NORMAL,nominal
2026-05-05T14:09:00,FDU01,49.0,11.29,1.89,true,NORMAL,nominal
2026-05-05T14:09:10,FDU01,45.5,11.28,1.43,true,NORMAL,nominal
2026-05-05T14:09:20,FDU01,44.7,11.26,1.82,true,NORMAL,nominal
2026-05-05T14:09:30,FDU01,42.7,11.24,1.60,true,NORMAL,nominal
2026-05-05T14:09:40,FDU01,49.2,11.23,1.37,true,NORMAL,nominal
2026-05-05T14:09:50,FDU01,46.4,11.21,1.46,true,NORMAL,nominal
2026-05-05T14:10:00,FDU01,42.9,11.20,1.38,false,CRITICAL,gps fix lost
2026-05-05T14:10:10,FDU01,48.9,11.19,1.79,false,CRITICAL,gps fix lost
2026-05-05T14:10:20,FDU01,45.5,11.17,1.64,false,CRITICAL,gps fix lost
2026-05-05T14:10:30,FDU01,47.9,11.15,1.18,false,CRITICAL,gps fix lost
2026-05-05T14:10:40,FDU01,46.6,11.14,1.44,true,NORMAL,nominal
2026-05-05T14:10:50,FDU01,47.1,11.12,1.80,true,NORMAL,nominal
2026-05-05T14:11:00,FDU01,45.1,11.11,1.62,true,NORMAL,nominal
2026-05-05T14:11:10,FDU01,46.3,11.09,1.72,true,NORMAL,nominal
2026-05-05T14:11:20,FDU01,48.3,11.08,1.15,true,NORMAL,nominal
2026-05-05T14:11:30,FDU01,46.0,11.06,1.88,true,NORMAL,nominal
2026-05-05T14:11:40,FDU01,45.4,11.05,1.22,true,NORMAL,nominal
2026-05-05T14:11:50,FDU01,49.5,11.04,1.57,true,NORMAL,nominal
2026-05-05T14:12:00,FDU01,42.7,11.02,1.50,true,NORMAL,nominal
2026-05-05T14:12:10,FDU01,47.3,11.00,1.46,true,NORMAL,nominal
2026-05-05T14:12:20,FDU01,43.9,10.99,1.80,true,NORMAL,nominal
2026-05-05T14:12:30,FDU01,44.9,10.97,1.64,true,NORMAL,nominal
2026-05-05T14:12:40,FDU01,43.6,10.96,1.97,true,NORMAL,nominal
2026-05-05T14:12:50,FDU01,42.3,10.95,1.26,true,NORMAL,nominal
2026-05-05T14:13:00,FDU01,46.4,10.93,1.68,true,NORMAL,nominal
2026-05-05T14:13:10,FDU01,44.0,10.91,1.43,true,NORMAL,nominal
